Connection Accepted: /127.0.0.13:12345

tiempo 1702897843300  tiempo 2 702901225800duration 3382500
tiempo 1702905289100  tiempo 2 702908873900duration 3584800
tiempo 1702912848500  tiempo 2 702918243800duration 5395300
tiempo 1702922381000  tiempo 2 702926261700duration 3880700
tiempo 1702931115600  tiempo 2 702935858700duration 4743100
tiempo 1702940870900  tiempo 2 702945841900duration 4971000
tiempo 1702948222200  tiempo 2 702951875100duration 3652900
tiempo 1702955881900  tiempo 2 702959395700duration 3513800
tiempo 1702992037500  tiempo 2 703004055500duration 12018000
tiempo 1703012839400  tiempo 2 703018649600duration 5810200
tiempo 1703024791000  tiempo 2 703029026500duration 4235500
tiempo 1703033343600  tiempo 2 703036530600duration 3187000
tiempo 1703040548100  tiempo 2 703044001400duration 3453300
tiempo 1703047990000  tiempo 2 703051317200duration 3327200
tiempo 1703055224200  tiempo 2 703058581000duration 3356800
tiempo 1703062584000  tiempo 2 703065923900duration 3339900
tiempo 1703069843100  tiempo 2 703073192400duration 3349300
tiempo 1703077198400  tiempo 2 703080502700duration 3304300
tiempo 1703082354100  tiempo 2 703085737900duration 3383800
tiempo 1703087597600  tiempo 2 703094020500duration 6422900
tiempo 1703097954900  tiempo 2 703101259700duration 3304800
tiempo 1703105128400  tiempo 2 703108557100duration 3428700
tiempo 1703112483400  tiempo 2 703116050200duration 3566800
tiempo 1703120015800  tiempo 2 703123396000duration 3380200
tiempo 1703165721200  tiempo 2 703177011500duration 11290300
tiempo 1703182298700  tiempo 2 703187080200duration 4781500
tiempo 1703192607800  tiempo 2 703197077100duration 4469300
tiempo 1703207525600  tiempo 2 703210846100duration 3320500
tiempo 1703214729900  tiempo 2 703218107500duration 3377600
tiempo 1703222317600  tiempo 2 703226176600duration 3859000
tiempo 1703230647200  tiempo 2 703235938600duration 5291400
tiempo 1703240068700  tiempo 2 703243434700duration 3366000
tiempo 1703245289700  tiempo 2 703248958700duration 3669000
tiempo 1703253033000  tiempo 2 703256437400duration 3404400
tiempo 1703260396300  tiempo 2 703264609000duration 4212700
tiempo 1703269062500  tiempo 2 703273241900duration 4179400
tiempo 1703279239000  tiempo 2 703283677700duration 4438700
tiempo 1703288666900  tiempo 2 703292187900duration 3521000
tiempo 1703296222100  tiempo 2 703299562000duration 3339900
tiempo 1703303637200  tiempo 2 703307015800duration 3378600
tiempo 1703308970200  tiempo 2 703312419300duration 3449100
tiempo 1703316624700  tiempo 2 703320009900duration 3385200
tiempo 1703360613100  tiempo 2 703365245100duration 4632000
tiempo 1703370938900  tiempo 2 703376183700duration 5244800
tiempo 1703378525500  tiempo 2 703383462900duration 4937400
tiempo 1703389225500  tiempo 2 703394091000duration 4865500
tiempo 1703396584300  tiempo 2 703401438300duration 4854000
tiempo 1703406867700  tiempo 2 703411361700duration 4494000
tiempo 1703416300300  tiempo 2 703420533600duration 4233300
tiempo 1703423292900  tiempo 2 703428179300duration 4886400
tiempo 1703430464000  tiempo 2 703434813100duration 4349100
tiempo 1703440135500  tiempo 2 703445783500duration 5648000
tiempo 1703452759500  tiempo 2 703459097100duration 6337600
tiempo 1703468132500  tiempo 2 703473532800duration 5400300
tiempo 1703476106900  tiempo 2 703480640900duration 4534000
tiempo 1703483087300  tiempo 2 703487661100duration 4573800
tiempo 1703492991200  tiempo 2 703498148000duration 5156800
tiempo 1703500616000  tiempo 2 703505297900duration 4681900
tiempo 1703512036000  tiempo 2 703516373200duration 4337200
tiempo 1703518753600  tiempo 2 703522750000duration 3996400
tiempo 1703526908800  tiempo 2 703530313500duration 3404700
tiempo 1703534267500  tiempo 2 703537591500duration 3324000
tiempo 1703541540200  tiempo 2 703544839400duration 3299200
tiempo 1703548784300  tiempo 2 703552090300duration 3306000
tiempo 1703553946600  tiempo 2 703557335500duration 3388900
tiempo 1703559114600  tiempo 2 703562492600duration 3378000
tiempo 1703566548800  tiempo 2 703570454200duration 3905400
tiempo 1703575571900  tiempo 2 703579951300duration 4379400
tiempo 1703585196900  tiempo 2 703588896800duration 3699900
tiempo 1703590757300  tiempo 2 703594117100duration 3359800
tiempo 1703598161700  tiempo 2 703601804700duration 3643000
tiempo 1703605860000  tiempo 2 703609172300duration 3312300
tiempo 1703611113100  tiempo 2 703614516000duration 3402900
tiempo 1703616342900  tiempo 2 703622522600duration 6179700
tiempo 1703654618100  tiempo 2 703668996100duration 14378000
tiempo 1703676303400  tiempo 2 703681230600duration 4927200
tiempo 1703686147100  tiempo 2 703689823300duration 3676200
tiempo 1703693959200  tiempo 2 703697147600duration 3188400
tiempo 1703700992600  tiempo 2 703704282600duration 3290000
tiempo 1703706194800  tiempo 2 703709652300duration 3457500
tiempo 1703713709100  tiempo 2 703717095600duration 3386500
tiempo 1703718955400  tiempo 2 703722376600duration 3421200
tiempo 1703726535200  tiempo 2 703729944200duration 3409000
tiempo 1703734125200  tiempo 2 703737517000duration 3391800
tiempo 1703739436800  tiempo 2 703743028800duration 3592000
tiempo 1703747066000  tiempo 2 703750548900duration 3482900
tiempo 1703756384200  tiempo 2 703761325300duration 4941100
tiempo 1703766593100  tiempo 2 703770845200duration 4252100
tiempo 1703773033400  tiempo 2 703776645500duration 3612100
tiempo 1703780773000  tiempo 2 703784512100duration 3739100
tiempo 1703789652000  tiempo 2 703793779000duration 4127000
tiempo 1703801644000  tiempo 2 703806071100duration 4427100
tiempo 1703808180400  tiempo 2 703811651100duration 3470700
tiempo 1703815972500  tiempo 2 703820330000duration 4357500
tiempo 1703825387200  tiempo 2 703829080900duration 3693700
tiempo 1703831030700  tiempo 2 703834760700duration 3730000
tiempo 1703839879100  tiempo 2 703845099000duration 5219900
tiempo 1703850696800  tiempo 2 703857695200duration 6998400
tiempo 1703864248600  tiempo 2 703869421300duration 5172700
tiempo 1703875191100  tiempo 2 703879368800duration 4177700
tiempo 1703883635000  tiempo 2 703886986500duration 3351500
tiempo 1703891181200  tiempo 2 703895341600duration 4160400
tiempo 1703900536000  tiempo 2 703905793800duration 5257800
tiempo 1703910898700  tiempo 2 703914574800duration 3676100
tiempo 1703918670000  tiempo 2 703922041800duration 3371800
tiempo 1703923916800  tiempo 2 703927394300duration 3477500
tiempo 1703932397800  tiempo 2 703936725100duration 4327300
tiempo 1703951870100  tiempo 2 703958757000duration 6886900
tiempo 1703965144300  tiempo 2 703969533100duration 4388800
tiempo 1703975367500  tiempo 2 703980734600duration 5367100
tiempo 1703986954700  tiempo 2 703992088400duration 5133700
tiempo 1703997249500  tiempo 2 704001888200duration 4638700
tiempo 1704004124300  tiempo 2 704008030900duration 3906600
tiempo 1704013350900  tiempo 2 704018365300duration 5014400
tiempo 1704023361400  tiempo 2 704027427300duration 4065900
tiempo 1704033539800  tiempo 2 704038178500duration 4638700
tiempo 1704044654500  tiempo 2 704051071600duration 6417100
tiempo 1704059648400  tiempo 2 704063853800duration 4205400
tiempo 1704068392400  tiempo 2 704072763400duration 4371000
tiempo 1704077854600  tiempo 2 704082312500duration 4457900
tiempo 1704084713800  tiempo 2 704088984400duration 4270600
tiempo 1704094175300  tiempo 2 704098335000duration 4159700
tiempo 1704102398100  tiempo 2 704105846800duration 3448700
tiempo 1704109727500  tiempo 2 704113196500duration 3469000
tiempo 1704117182300  tiempo 2 704120636600duration 3454300
tiempo 1704124842300  tiempo 2 704128991000duration 4148700
tiempo 1704134076000  tiempo 2 704138441000duration 4365000
tiempo 1704143338500  tiempo 2 704147262800duration 3924300
tiempo 1704151195000  tiempo 2 704154634900duration 3439900
tiempo 1704159447300  tiempo 2 704163927600duration 4480300
tiempo 1704169129800  tiempo 2 704173372500duration 4242700
tiempo 1704175382700  tiempo 2 704178898000duration 3515300
tiempo 1704183081900  tiempo 2 704186985500duration 3903600
tiempo 1704191858800  tiempo 2 704196207300duration 4348500
tiempo 1704201288100  tiempo 2 704205594400duration 4306300
tiempo 1704210693000  tiempo 2 704215007600duration 4314600
tiempo 1704219805400  tiempo 2 704223360000duration 3554600
tiempo 1704225299500  tiempo 2 704229389700duration 4090200
